time;temp;humidity;CO2;TCOV
01/03/2023 01:16;31;41;978;25.22
01/03/2023 01:16;31;41;978;31.71
01/03/2023 01:17;31;41;975;32.91
01/03/2023 01:17;31;41;978;23.39
01/03/2023 01:18;31;41;978;13.23
01/03/2023 01:18;32;41;978;13.05
01/03/2023 01:19;31;41;975;16.89
01/03/2023 01:19;31;41;975;23.21
01/03/2023 01:20;31;41;978;41.55
01/03/2023 01:20;31;41;975;31.36
01/03/2023 01:21;31;41;975;30.02
01/03/2023 01:21;31;41;978;24.9
01/03/2023 01:22;31;41;975;24.97
01/03/2023 01:22;31;41;978;17
01/03/2023 01:23;31;41;973;26.35
01/03/2023 01:23;31;41;978;23.03
01/03/2023 01:24;31;41;978;27.23
01/03/2023 01:24;31;41;975;18.27
01/03/2023 01:25;32;41;975;21.23
01/03/2023 01:25;31;41;975;14.39
01/03/2023 01:26;32;41;978;13.9
01/03/2023 01:26;31;41;975;21.55
01/03/2023 01:27;31;41;975;16.01
01/03/2023 01:27;31;41;978;17.71
01/03/2023 01:28;31;41;978;28.47
01/03/2023 01:28;31;41;978;21.94
01/03/2023 01:29;31;41;973;35.52
01/03/2023 01:29;31;41;973;33.55
01/03/2023 01:30;31;41;973;29.67
01/03/2023 01:30;31;41;975;28.25
01/03/2023 01:31;32;41;973;16.19
01/03/2023 01:31;31;41;973;31.36
01/03/2023 01:32;31;41;973;16.08
01/03/2023 01:32;31;41;975;18.69
01/03/2023 01:33;31;41;973;24.97
01/03/2023 01:33;31;41;978;31.25
01/03/2023 01:34;31;41;975;32.45
01/03/2023 01:34;31;41;975;18.41
01/03/2023 01:35;31;41;975;35.49
01/03/2023 01:35;31;41;975;36.47
01/03/2023 01:36;31;41;973;24.06
01/03/2023 01:36;31;41;975;21.16
01/03/2023 01:37;31;41;973;19.15
01/03/2023 01:37;31;41;975;21.02
01/03/2023 01:38;31;41;975;21.02
01/03/2023 01:38;31;41;975;21.9
01/03/2023 01:39;31;41;975;21.52
01/03/2023 01:39;31;41;978;19.36
01/03/2023 01:40;31;41;975;16.54
01/03/2023 01:40;31;41;975;27.94
01/03/2023 01:41;31;41;975;18.87
01/03/2023 01:41;31;41;978;22.72
01/03/2023 01:42;31;41;975;26.53
01/03/2023 01:42;31;41;975;31.54
01/03/2023 01:43;31;41;975;14.39
01/03/2023 01:43;31;41;975;21.94
01/03/2023 01:44;31;41;975;36.05
01/03/2023 01:44;31;41;973;26.49
01/03/2023 01:45;31;41;975;45.15
01/03/2023 01:45;31;41;975;32.07
01/03/2023 01:46;31;41;975;29.17
01/03/2023 01:46;31;41;975;29.07
01/03/2023 01:47;31;41;975;28.89
01/03/2023 01:47;32;41;973;33.33
01/03/2023 01:48;32;41;973;25.11
01/03/2023 01:48;32;41;975;36.09
01/03/2023 01:49;32;41;975;34.53
01/03/2023 01:49;32;41;975;32.24
01/03/2023 01:50;32;41;978;22.05
